state,city,drug_name,specialty_description,drug_claim_count,drug_supply_count,drug_cost,latitude,longitude,name
AK,UNALASKA,DULOXETINE HCL,Nurse Practitioner,35,256,1632.33,63.588753000000004,-154.493062,Alaska
AK,BREVIG MISSION,ATORVASTATIN CALCIUM,Registered Nurse,17,515,1445.8,63.588753000000004,-154.493062,Alaska
AK,SAND POINT,DULOXETINE HCL,Nurse Practitioner,11,390,1354.58,63.588753000000004,-154.493062,Alaska
AK,BARROW,DEXILANT,Physician Assistant,11,154,1021.99,63.588753000000004,-154.493062,Alaska
AK,GUSTAVUS,HYDROCODONE-ACETAMINOPHEN,Nurse Practitioner,13,510,636.5,63.588753000000004,-154.493062,Alaska
AK,FORT YUKON,LOSARTAN POTASSIUM,Family Practice,19,570,594.68,63.588753000000004,-154.493062,Alaska
AK,TOGIAK,OMEPRAZOLE,Nurse Practitioner,14,420,590.17,63.588753000000004,-154.493062,Alaska
AK,METLAKATLA,LISINOPRIL,Physician Assistant,49,1416,429.17,63.588753000000004,-154.493062,Alaska
AK,SALDOTNA,SPIRONOLACTONE-HCTZ,Obstetrics/Gynecology,11,630,403.08,63.588753000000004,-154.493062,Alaska
AK,FORT WAINWRIGHT,SIMVASTATIN,Nurse Practitioner,18,1620,339.48,63.588753000000004,-154.493062,Alaska
AK,ELMENDORF AFB,HYDROCODONE-ACETAMINOPHEN,Emergency Medicine,55,167,289.1,63.588753000000004,-154.493062,Alaska
AK,SKAGWAY,ATORVASTATIN CALCIUM,Nurse Practitioner,17,810,279.18,63.588753000000004,-154.493062,Alaska
AK,SELDOVIA,AMITRIPTYLINE HCL,General Practice,13,390,250.15,63.588753000000004,-154.493062,Alaska
AK,TANANA,LISINOPRIL,Physician Assistant,21,750,194.98,63.588753000000004,-154.493062,Alaska
AK,DENALI PARK,LISINOPRIL,Physician Assistant,32,1055,194.69,63.588753000000004,-154.493062,Alaska
AK,MCGRATH,GABAPENTIN,Physician Assistant,12,365,166.52,63.588753000000004,-154.493062,Alaska
AK,FT WAINWRIGHT,MELOXICAM,Orthopedic Surgery,12,600,89.06,63.588753000000004,-154.493062,Alaska
AK,EIELSON AFB,AMOXICILLIN,Dentist,11,72,64.94,63.588753000000004,-154.493062,Alaska
AL,BIRMINGHAM,REVLIMID,Hematology/Oncology,419,11298,3864911.99,32.318231,-86.902298,Alabama
AL,HUNTSVILLE,HUMIRA,Rheumatology,555,17117,1778050.42,32.318231,-86.902298,Alabama
AL,MOBILE,NEXIUM,Internal Medicine,4804,209984,1694376.68,32.318231,-86.902298,Alabama
AL,VESTAVIA,ZOSTAVAX,Emergency Medicine,6406,16095,1253881.45,32.318231,-86.902298,Alabama
AL,MONTGOMERY,SENSIPAR,Nephrology,931,35364,1015126.1,32.318231,-86.902298,Alabama
AL,CULLMAN,JUXTAPID,Cardiology,31,868,778671.27,32.318231,-86.902298,Alabama
AL,DOTHAN,NEXIUM,Internal Medicine,1932,84191,679678.01,32.318231,-86.902298,Alabama
AL,TUSCALOOSA,SPIRIVA,Pulmonary Disease,1747,63060,600857.5,32.318231,-86.902298,Alabama
AL,OPELIKA,TRACLEER,Internal Medicine,72,2160,547768.52,32.318231,-86.902298,Alabama
AL,ALEXANDER CITY,LETAIRIS,Pulmonary Disease,68,2040,486073.86,32.318231,-86.902298,Alabama
AL,TALLADEGA,GAMMAGARD LIQUID,Neurology,31,820,468451.65,32.318231,-86.902298,Alabama
AL,FAIRHOPE,HUMIRA,Rheumatology,132,4258,404850.11,32.318231,-86.902298,Alabama
AL,ANNISTON,ENBREL,Rheumatology,124,3764,353043.5,32.318231,-86.902298,Alabama
AL,GADSDEN,SPIRIVA,Pulmonary Disease,936,33450,321611.14,32.318231,-86.902298,Alabama
AL,BESSEMER,NEXIUM,Internal Medicine,1034,39662,310961.24,32.318231,-86.902298,Alabama
AL,SHEFFIELD,NEXIUM,Internal Medicine,858,38189,304343.82,32.318231,-86.902298,Alabama
AL,SYLACAUGA,SPIRIVA,Internal Medicine,906,28268,279864.69,32.318231,-86.902298,Alabama
AL,PRATTVILLE,NEXIUM,Family Practice,848,36720,278076.63,32.318231,-86.902298,Alabama
AL,JASPER,NEXIUM,Family Practice,759,33480,276297.32,32.318231,-86.902298,Alabama
AL,BOAZ,XTANDI,Medical Oncology,32,960,264584.21,32.318231,-86.902298,Alabama
AL,GUNTERSVILLE,NEXIUM,Family Practice,812,32034,256877,32.318231,-86.902298,Alabama
AL,ALABASTER,SPIRIVA,Pulmonary Disease,752,25020,240179.63,32.318231,-86.902298,Alabama
AL,SCOTTSBORO,NEXIUM,Family Practice,765,28662,235146.95,32.318231,-86.902298,Alabama
AL,FOLEY,SUBSYS,Family Practice,74,2200,233941.55,32.318231,-86.902298,Alabama
AL,GARDENDALE,NEXIUM,Internal Medicine,672,28332,230118.2,32.318231,-86.902298,Alabama
AL,HALEYVILLE,NAMENDA,Family Practice,1399,21751,230084.53,32.318231,-86.902298,Alabama
AL,ALBERTVILLE,NEXIUM,Family Practice,678,27737,227605.79,32.318231,-86.902298,Alabama
AL,PHENIX CITY,NEXIUM,Family Practice,617,26162,210519.35,32.318231,-86.902298,Alabama
AL,SELMA,SENSIPAR,Nephrology,198,8220,209724.24,32.318231,-86.902298,Alabama
AL,MUSCLE SHOALS,ZYTIGA,Medical Oncology,28,840,200679.08,32.318231,-86.902298,Alabama
AL,OZARK,GAMMAGARD LIQUID,Neurology,13,364,197980.64,32.318231,-86.902298,Alabama
AL,FORT PAYNE,NEXIUM,Internal Medicine,640,24333,195122.93,32.318231,-86.902298,Alabama
AL,ENTERPRISE,CRESTOR,Internal Medicine,663,29881,182453.49,32.318231,-86.902298,Alabama
AL,IRONDALE,NAMENDA,Internal Medicine,721,17673,166581.13,32.318231,-86.902298,Alabama
AL,PELL CITY,NEXIUM,Family Practice,548,20155,161850.3,32.318231,-86.902298,Alabama
AL,MOULTON,NEXIUM,Family Practice,553,18326,149430.44,32.318231,-86.902298,Alabama
AL,SARALAND,NEXIUM,Family Practice,429,18363,147876.12,32.318231,-86.902298,Alabama
AL,CLANTON,NEXIUM,Internal Medicine,420,18521,145840.04,32.318231,-86.902298,Alabama
AL,VESTAVIA HILLS,RESTASIS,Ophthalmology,369,13641,142617.97,32.318231,-86.902298,Alabama
AL,HUEYTOWN,OXYCONTIN,Internal Medicine,161,4883,142394.16,32.318231,-86.902298,Alabama
AL,CENTRE,NEXIUM,Family Practice,487,16510,133177.66,32.318231,-86.902298,Alabama
AL,DAPHNE,CRESTOR,Family Practice,404,22331,131208.98,32.318231,-86.902298,Alabama
AL,DEMOPOLIS,NEXIUM,Family Practice,461,16212,130064.69,32.318231,-86.902298,Alabama
AL,WETUMPKA,NEXIUM,Family Practice,369,15431,129886.62,32.318231,-86.902298,Alabama
AL,FULTONDALE,NEXIUM,Internal Medicine,397,14960,118558.9,32.318231,-86.902298,Alabama
AL,ARAB,NEXIUM,Family Practice,472,14452,115088.92,32.318231,-86.902298,Alabama
AL,HARTSELLE,NEXIUM,Family Practice,337,13882,115015.81,32.318231,-86.902298,Alabama
AL,VALLEY,NAMENDA,Internal Medicine,519,11749,114847.07,32.318231,-86.902298,Alabama
AL,EVERGREEN,NEXIUM,Family Practice,366,13464,109172.74,32.318231,-86.902298,Alabama
AL,EUFAULA,CRESTOR,Internal Medicine,492,22650,108690.04,32.318231,-86.902298,Alabama
AL,BREWTON,RESTASIS,Optometry,228,10170,105378.68,32.318231,-86.902298,Alabama
AL,ANDALUSIA,REVLIMID,Nurse Practitioner,12,287,103453.78,32.318231,-86.902298,Alabama
AL,RAINSVILLE,NEXIUM,Family Practice,433,12691,102834.43,32.318231,-86.902298,Alabama
AL,HACKLEBURG,NEXIUM,Family Practice,372,12417,102574.9,32.318231,-86.902298,Alabama
AL,OPP,NEXIUM,Family Practice,290,10568,101784.6,32.318231,-86.902298,Alabama
AL,SUMITON,NEXIUM,General Practice,365,12322,100430.73,32.318231,-86.902298,Alabama
AL,SULLIGENT,RENVELA,Nurse Practitioner,77,2953,98327.76,32.318231,-86.902298,Alabama
AL,LUVERNE,NAMENDA,Emergency Medicine,521,8931,95843.35,32.318231,-86.902298,Alabama
AL,STEVENSON,NEXIUM,Family Practice,266,11494,92349.54,32.318231,-86.902298,Alabama
AL,PINSON,NEXIUM,Internal Medicine,290,12083,91735.53,32.318231,-86.902298,Alabama
AL,SOUTHSIDE,NEXIUM,Family Practice,279,11959,91486.11,32.318231,-86.902298,Alabama
AL,FAYETTE,NEXIUM,Family Practice,285,11040,90766.48,32.318231,-86.902298,Alabama
AL,ATMORE,NEXIUM,Family Practice,277,10677,89362.82,32.318231,-86.902298,Alabama
AL,HOOVER,NEXIUM,Family Practice,236,10790,88940.39,32.318231,-86.902298,Alabama
AL,TALLASSEE,NEXIUM,Family Practice,258,11012,88598.71,32.318231,-86.902298,Alabama
AL,HEFLIN,NEXIUM,Internal Medicine,290,10479,86335.93,32.318231,-86.902298,Alabama
AL,AUTAUGAVILLE,GLEEVEC,Family Practice,21,294,84813.72,32.318231,-86.902298,Alabama
AL,BAY MINETTE,NEXIUM,Internal Medicine,254,10384,84126.49,32.318231,-86.902298,Alabama
AL,SNEAD,LYRICA,Family Practice,361,8580,83925.92,32.318231,-86.902298,Alabama
AL,MONTEVALLO,JANUVIA,Internal Medicine,234,8220,80349.16,32.318231,-86.902298,Alabama
AL,RAINBOW CITY,NEXIUM,Internal Medicine,193,10470,78722,32.318231,-86.902298,Alabama
AL,GULF SHORES,NEXIUM,Family Practice,197,9742,76102.39,32.318231,-86.902298,Alabama
AL,OHATCHEE,NEXIUM,Family Practice,218,8880,74441.95,32.318231,-86.902298,Alabama
AL,GRAYSVILLE,LANTUS SOLOSTAR,General Practice,143,4161,73852.06,32.318231,-86.902298,Alabama
AL,HENAGAR,JANUVIA,Family Practice,208,7470,70005.74,32.318231,-86.902298,Alabama
AL,ATTALLA,ABILIFY,Psychiatry,58,2223,68100.36,32.318231,-86.902298,Alabama
AL,LINEVILLE,NAMENDA,Family Practice,312,6953,66480.19,32.318231,-86.902298,Alabama
AL,CALERA,NEXIUM,Family Practice,205,8550,65634.57,32.318231,-86.902298,Alabama
AL,PELHAM,CELEBREX,Family Practice,205,8289,63121.17,32.318231,-86.902298,Alabama
AL,GILBERTOWN,NEXIUM,Family Practice,230,7579,63069.48,32.318231,-86.902298,Alabama
AL,WARRIOR,SPIRIVA,Internal Medicine,139,6630,62741.4,32.318231,-86.902298,Alabama
AL,KILLEN,NEXIUM,Family Practice,175,7765,62428.15,32.318231,-86.902298,Alabama
AL,JEMISON,NEXIUM,Internal Medicine,203,7623,61656.11,32.318231,-86.902298,Alabama
AL,RED BAY,NEXIUM,Emergency Medicine,234,7564,61192.12,32.318231,-86.902298,Alabama
AL,DADEVILLE,NEXIUM,Family Practice,240,6767,60505.01,32.318231,-86.902298,Alabama
AL,ALICEVILLE,LUMIGAN,Optometry,403,14319,60018.28,32.318231,-86.902298,Alabama
AL,LOXLEY,COPAXONE,Neurology,12,354,58954.37,32.318231,-86.902298,Alabama
AL,TONEY,NEXIUM,Internal Medicine,112,6900,54828.58,32.318231,-86.902298,Alabama
AL,UNION SPRINGS,COLCRYS,Internal Medicine,311,7424,53340.18,32.318231,-86.902298,Alabama
AL,TUSCUMBIA,NEXIUM,Nurse Practitioner,158,6465,53329.67,32.318231,-86.902298,Alabama
AL,SLOCOMB,LYRICA,Internal Medicine,115,5550,51142.19,32.318231,-86.902298,Alabama
AL,TOXEY,NEXIUM,Family Practice,170,6210,50547.4,32.318231,-86.902298,Alabama
AL,ELBERTA,NEXIUM,Family Practice,145,6330,50188.17,32.318231,-86.902298,Alabama
AL,MOUNTAIN BRK,CRESTOR,Internal Medicine,166,8780,49942.24,32.318231,-86.902298,Alabama
AL,OPELKA,ATRIPLA,Nurse Practitioner,24,720,49616.76,32.318231,-86.902298,Alabama
AL,CHILDERSBURG,LANTUS SOLOSTAR,Family Practice,105,3127,48844.01,32.318231,-86.902298,Alabama
AL,SARDIS CITY,SPIRIVA,Family Practice,147,5010,48476.73,32.318231,-86.902298,Alabama
AL,ELBA,LYRICA,Family Practice,188,5796,47780.52,32.318231,-86.902298,Alabama
AL,MONTOMGERY,INVEGA SUSTENNA,Psychiatry,47,1334,46881.89,32.318231,-86.902298,Alabama
AL,CITRONELLE,NEXIUM,Internal Medicine,153,5580,44580.69,32.318231,-86.902298,Alabama
AL,EUTAW,CRESTOR,Internal Medicine,169,7221,44250.16,32.318231,-86.902298,Alabama
AL,ORANGE BEACH,SPIRIVA,Pulmonary Disease,120,4500,43344.97,32.318231,-86.902298,Alabama
AL,MOUNDVILLE,CRESTOR,Family Practice,177,7080,43248.62,32.318231,-86.902298,Alabama
AL,SEMMES,NEXIUM,Family Practice,103,5010,43007.75,32.318231,-86.902298,Alabama
AL,CHATOM,NAMENDA,Family Practice,143,4048,41356.98,32.318231,-86.902298,Alabama
AL,HEADLAND,ADVAIR DISKUS,Family Practice,126,3900,40766.47,32.318231,-86.902298,Alabama
AL,MOUNTAIN BROOK,VICTOZA 3-PAK,Endocrinology,51,2115,38617.68,32.318231,-86.902298,Alabama
AL,ECLECTIC,NEXIUM,Family Practice,137,4830,38614.93,32.318231,-86.902298,Alabama
AL,DOUBLE SPRINGS,ENBREL,Family Practice,12,420,37855.76,32.318231,-86.902298,Alabama
AL,ADAMSVILLE,NEXIUM,Family Practice,139,4643,37260.36,32.318231,-86.902298,Alabama
AL,GROVE HILL,CRESTOR,Family Practice,155,6090,36941.32,32.318231,-86.902298,Alabama
AL,REFORM,EXELON,Family Practice,94,2820,34812.87,32.318231,-86.902298,Alabama
AL,FLORALA,NAMENDA,Internal Medicine,144,3167,34267.21,32.318231,-86.902298,Alabama
AL,SPANISH FORT,LEVEMIR,Family Practice,129,2253,31450.88,32.318231,-86.902298,Alabama
AL,GUIN,NEXIUM,Family Practice,76,4000,31328.07,32.318231,-86.902298,Alabama
AL,SECTION,LANTUS,Family Practice,53,2140,31182.07,32.318231,-86.902298,Alabama
AL,PISGAH,NEXIUM,Internal Medicine,76,3900,30483.3,32.318231,-86.902298,Alabama
AL,ROBERSTDALE,NEXIUM,Family Practice,95,3042,30366.79,32.318231,-86.902298,Alabama
AL,VESTAVIA HLS,CRESTOR,Internal Medicine,84,4950,29963.74,32.318231,-86.902298,Alabama
AL,MC CALLA,SPIRIVA,Internal Medicine,93,3030,29239.39,32.318231,-86.902298,Alabama
AL,GORDO,NEXIUM,Family Practice,92,3630,29044.65,32.318231,-86.902298,Alabama
AL,ROBERTSDALE,SPIRIVA,Family Practice,83,2910,28382.12,32.318231,-86.902298,Alabama
AL,WEDOWEE,ADVAIR DISKUS,Nurse Practitioner,65,2830,27631.61,32.318231,-86.902298,Alabama
AL,FLOMATON,NEXIUM,Family Practice,75,3330,26491.25,32.318231,-86.902298,Alabama
AL,GERALDINE,NEXIUM,Internal Medicine,90,3120,25089.94,32.318231,-86.902298,Alabama
AL,COURTLAND,NEXIUM,Family Practice,92,3120,24693.12,32.318231,-86.902298,Alabama
AL,HAZEL GREEN,LEVEMIR FLEXPEN,Family Practice,49,2283,24469.49,32.318231,-86.902298,Alabama
AL,PINEAPPLE,NAMENDA,Family Practice,119,2750,24392.72,32.318231,-86.902298,Alabama
AL,BLOUNTSVILLE,SPIRIVA,Family Practice,60,2490,23968.64,32.318231,-86.902298,Alabama
AL,WADLEY,ABILIFY,Nurse Practitioner,27,810,23167.61,32.318231,-86.902298,Alabama
AL,BROWNSBORO,LYRICA,Family Practice,61,2190,23106.92,32.318231,-86.902298,Alabama
AL,TARRANT,NEXIUM,Family Practice,53,2715,22987.58,32.318231,-86.902298,Alabama
AL,HOBSON CITY,EPZICOM,Infectious Disease,20,600,22317.72,32.318231,-86.902298,Alabama
AL,LILLIAN,CRESTOR,Family Practice,56,3696,22117.48,32.318231,-86.902298,Alabama
AL,SAMSON,LYRICA,Internal Medicine,62,2460,21886.42,32.318231,-86.902298,Alabama
AL,MCCALLA,JANUVIA,Internal Medicine,54,2280,21864.88,32.318231,-86.902298,Alabama
AL,BRUNDIDGE,ONGLYZA,Internal Medicine,67,2234,21600.02,32.318231,-86.902298,Alabama
AL,HAYNEVILLE,CRESTOR,Family Practice,103,3240,20330.59,32.318231,-86.902298,Alabama
AL,SMITHS,JANUVIA,Family Practice,45,2070,20121.69,32.318231,-86.902298,Alabama
AL,DORA,NEXIUM,Internal Medicine,62,2460,19943.96,32.318231,-86.902298,Alabama
AL,MCINTOSH,NEXIUM,Internal Medicine,46,2400,18923.49,32.318231,-86.902298,Alabama
AL,PIKE ROAD,FORTEO,Internal Medicine,11,352,18377.15,32.318231,-86.902298,Alabama
AL,COWARTS,NEXIUM,Nurse Practitioner,62,2267,18268.93,32.318231,-86.902298,Alabama
AL,HARVEST,NEXIUM,Nurse Practitioner,56,2280,18103.65,32.318231,-86.902298,Alabama
AL,BIRMNGHAM,ZELAPAR,Neurology,13,390,17722.58,32.318231,-86.902298,Alabama
AL,GURLEY,LYRICA,Family Practice,50,2181,17680.03,32.318231,-86.902298,Alabama
AL,ELKMONT,NEXIUM,Emergency Medicine,66,2090,17430.93,32.318231,-86.902298,Alabama
AL,GEORGIANA,NEXIUM,Family Practice,43,2150,17326.04,32.318231,-86.902298,Alabama
AL,OWENS CROSS ROADS,NEXIUM,Family Practice,24,2160,16185.26,32.318231,-86.902298,Alabama
AL,FAIRHOP,VICTOZA 3-PAK,Internal Medicine,18,1110,15499.82,32.318231,-86.902298,Alabama
AL,VANCE,NEXIUM,Internal Medicine,48,1920,15257.61,32.318231,-86.902298,Alabama
AL,TRUSSVILLE,JANUVIA,Family Practice,27,1410,13581.69,32.318231,-86.902298,Alabama
AL,GRAND BAY,ADVAIR DISKUS,Nurse Practitioner,32,1320,12775.58,32.318231,-86.902298,Alabama
AL,NOTASULGA,SPIRIVA,Nurse Practitioner,39,1230,11940.87,32.318231,-86.902298,Alabama
AL,URIAH,NEXIUM,Family Practice,24,1440,11332.44,32.318231,-86.902298,Alabama
AL,HANCEVILLE,LANTUS SOLOSTAR,Internal Medicine,20,752,10617.99,32.318231,-86.902298,Alabama
AL,REDSTONE ARSENAL,JANUVIA,Family Practice,27,1050,10324.3,32.318231,-86.902298,Alabama
AL,LANETT,NEXIUM,Internal Medicine,18,1320,10217.69,32.318231,-86.902298,Alabama
AL,TUSKEGEE,LANTUS SOLOSTAR,Nurse Practitioner,23,976,8543.57,32.318231,-86.902298,Alabama
AL,SYLACOUGA,LYRICA,Family Practice,23,870,8483.37,32.318231,-86.902298,Alabama
AL,CARBON HILL,NAMENDA,Nurse Practitioner,23,930,8382.31,32.318231,-86.902298,Alabama
AL,GADSEN,PROPAFENONE HCL ER,Cardiology,16,720,7471.14,32.318231,-86.902298,Alabama
AL,MIDLAND CITY,JANUVIA,Family Practice,18,728,7004.02,32.318231,-86.902298,Alabama
AL,BAYOU LA BATRE,CRESTOR,Internal Medicine,31,1110,6919.69,32.318231,-86.902298,Alabama
AL,SUMMERDALE,NAMENDA,Family Practice,21,690,6916.8,32.318231,-86.902298,Alabama
AL,ALEX CITY,LOTEMAX,Optometry,45,977,6728.74,32.318231,-86.902298,Alabama
AL,BHAM,OXYCODONE-ACETAMINOPHEN,Orthopedic Surgery,137,1140,6414.71,32.318231,-86.902298,Alabama
AL,FT MCCLELLAN,NEXIUM,Family Practice,25,750,6265.91,32.318231,-86.902298,Alabama
AL,MERIDIANVILLE,SENSIPAR,Nurse Practitioner,11,330,5782.63,32.318231,-86.902298,Alabama
AL,HOKES BLUFF,HYDROCODONE-ACETAMINOPHEN,Family Practice,236,7075,5450.37,32.318231,-86.902298,Alabama
AL,DOZIER,ADVAIR DISKUS,Nurse Practitioner,11,570,5204.68,32.318231,-86.902298,Alabama
AL,PINE APPLE,DIOVAN,Nurse Practitioner,14,960,5160.25,32.318231,-86.902298,Alabama
AL,HARPERSVILLE,LEVEMIR FLEXPEN,Family Practice,12,380,4992.03,32.318231,-86.902298,Alabama
AL,RED LEVEL,LYRICA,Family Practice,19,570,4969.79,32.318231,-86.902298,Alabama
AL,MAPLESVILLE,SPIRIVA,Family Practice,16,480,4686.82,32.318231,-86.902298,Alabama
AL,FT RUCKER,DULOXETINE HCL,Psychiatry & Neurology,12,480,4518.55,32.318231,-86.902298,Alabama
AL,MIDFIELD,COLCRYS,Family Practice,12,360,4445.46,32.318231,-86.902298,Alabama
AL,STERRETT,COMBIGAN,Optometry,30,862,3889.45,32.318231,-86.902298,Alabama
AL,HUTNSVILLE,DULOXETINE HCL,Nurse Practitioner,33,1153,3784.57,32.318231,-86.902298,Alabama
AL,LACEYS SPRING,NAMENDA,Nurse Practitioner,12,360,3710.52,32.318231,-86.902298,Alabama
AL,CASTLEBERRY,LEVEMIR FLEXPEN,Family Practice,11,345,3508.74,32.318231,-86.902298,Alabama
AL,TUSACLOOSA,NEXIUM,Gastroenterology,13,390,3276.87,32.318231,-86.902298,Alabama
AL,BERRY,NEXIUM,Nurse Practitioner,13,390,3105.07,32.318231,-86.902298,Alabama
AL,TUSCALOUSA,PREMARIN,Obstetrics/Gynecology,12,610,2870.16,32.318231,-86.902298,Alabama
AL,MONTOMERY,CICLOPIROX,Podiatry,87,1680,2742.93,32.318231,-86.902298,Alabama
AL,VALLEY GRANDE,COLCRYS,Family Practice,11,348,2576.62,32.318231,-86.902298,Alabama
AL,FYFFE,PROAIR HFA,Nurse Practitioner,28,1034,2256.44,32.318231,-86.902298,Alabama
AL,MAXWELL AIR FORCE BASE,OXYCODONE HCL,Family Practice,18,454,1837.74,32.318231,-86.902298,Alabama
AL,FORT RUCKER,VANCOMYCIN HCL,Family Practice,13,91,1682.69,32.318231,-86.902298,Alabama
AL,MILLPORT,PRAVASTATIN SODIUM,Nurse Practitioner,62,2220,1361.86,32.318231,-86.902298,Alabama
AL,EVA,DOXYCYCLINE HYCLATE,Family Practice,16,160,1139.76,32.318231,-86.902298,Alabama
AL,FORESTDALE,HYDROCODONE-ACETAMINOPHEN,Internal Medicine,43,1205,795.5,32.318231,-86.902298,Alabama
AL,HOLLY POND,POTASSIUM CHLORIDE,Nurse Practitioner,14,540,620.1,32.318231,-86.902298,Alabama
AL,TUSCLAOOSA,FLUTICASONE PROPIONATE,Physician Assistant,31,920,462.82,32.318231,-86.902298,Alabama
AL,FRISCO CITY,CEPHALEXIN,Dentist,79,508,388.38,32.318231,-86.902298,Alabama
AL,PHIL CAMPBELL,HYDROCODONE-ACETAMINOPHEN,Dentist,80,256,342.4,32.318231,-86.902298,Alabama
AL,PRICHARD,HYDROCODONE-ACETAMINOPHEN,Internal Medicine,30,254,317.38,32.318231,-86.902298,Alabama
AL,EIGHT MILE,AMLODIPINE BESYLATE,Nurse Practitioner,38,2520,270.2,32.318231,-86.902298,Alabama
AL,AUBURN UNIVERSITY,ENALAPRIL MALEATE,Internal Medicine,16,780,263.3,32.318231,-86.902298,Alabama
AL,THORSBY,HYDROCODONE-ACETAMINOPHEN,Dentist,32,142,220.06,32.318231,-86.902298,Alabama
AL,TANNER,FLUTICASONE PROPIONATE,Nurse Practitioner,18,526,207.59,32.318231,-86.902298,Alabama
AL,GUNTERSILLE,BUPROPION HCL SR,Nurse Practitioner,13,390,192.27,32.318231,-86.902298,Alabama
AL,THEODORE,HYDROCODONE-ACETAMINOPHEN,Dentist,33,89,160.2,32.318231,-86.902298,Alabama
AL,BRIERFIELD 1,CHLORHEXIDINE GLUCONATE,Dentist,22,433,141.67,32.318231,-86.902298,Alabama
AL,SATSUMA,CEPHALEXIN,Dentist,14,88,84.65,32.318231,-86.902298,Alabama
AL,ODENVILLE,AMOXICILLIN,Dentist,11,95,55.58,32.318231,-86.902298,Alabama
