provider_state,name,drug_name,drug_count_most_consumed,total_drug_count,specialty_description,drug_claim_count,drug_supply_count,drug_cost,avg_cost_drug,latitude,longitude
MO,Missouri,HYDROCODONE-ACETAMINOPHEN,6925,553249,Plastic and Reconstructive Surgery,42,2782,999,24,37.964253,-91.831833
MS,Mississippi,HYDROCODONE-ACETAMINOPHEN,4001,269114,Endocrinology,76,2897,1000,13,32.354668,-89.398528
MT,Montana,HYDROCODONE-ACETAMINOPHEN,1538,79659,Physician Assistant,12,360,9986,832,46.879682,-110.362566
NC,North Carolina,HYDROCODONE-ACETAMINOPHEN,11982,876296,Rheumatology,49,1690,9997,204,35.759573,-79.0193
ND,North Dakota,HYDROCODONE-ACETAMINOPHEN,945,66876,Nephrology,146,7771,999,7,47.551493,-101.002012
NE,Nebraska,HYDROCODONE-ACETAMINOPHEN,2402,166946,Nurse Practitioner,22,285,9992,454,41.492537,-99.901813
NH,New Hampshire,LISINOPRIL,1407,103139,Geriatric Medicine,11,298,9979,907,43.193852,-71.572395
NJ,New Jersey,AMLODIPINE BESYLATE,7143,650274,General Practice,11,330,999,91,40.058324,-74.405661
NM,New Mexico,HYDROCODONE-ACETAMINOPHEN,2288,131194,Geriatric Medicine,61,2295,9996,164,34.97273,-105.032363
NV,Nevada,HYDROCODONE-ACETAMINOPHEN,2962,149874,Internal Medicine,12,360,999,83,38.80261,-116.419389
NY,New York,AMLODIPINE BESYLATE,18992,1650337,Orthopedic Surgery,20,600,10000,500,43.299428,-74.217933
OH,Ohio,HYDROCODONE-ACETAMINOPHEN,13404,1001853,Internal Medicine,12,360,9993,833,40.417287,-82.907123
OK,Oklahoma,HYDROCODONE-ACETAMINOPHEN,5072,290335,Dermatology,14,156,9987,713,35.007752,-97.092877
OR,Oregon,HYDROCODONE-ACETAMINOPHEN,5938,317042,Internal Medicine,17,482,999,59,43.804133,-120.554201
PA,Pennsylvania,LISINOPRIL,13276,1229100,Case Manager/Care Coordinator,242,5148,10000,41,41.203322,-77.194525
PR,Puerto Rico,GABAPENTIN,4049,340193,Specialist,31,1287,9984,322,18.220833,-66.590149
RI,Rhode Island,HYDROCODONE-ACETAMINOPHEN,1271,100820,Psychiatry,12,360,9983,832,41.580095,-71.477429
SC,South Carolina,HYDROCODONE-ACETAMINOPHEN,5993,403874,Nurse Practitioner,12,336,999,83,33.836081,-81.163725
SD,South Dakota,HYDROCODONE-ACETAMINOPHEN,1200,75409,Cardiology,12,360,1000,83,43.969515,-99.901813
TN,Tennessee,HYDROCODONE-ACETAMINOPHEN,10345,634761,Multispecialty Clinic/Group Practice,12,336,999,83,35.517491,-86.580447
TX,Texas,HYDROCODONE-ACETAMINOPHEN,24697,1472194,Cardiology,23,2070,999,43,31.968599,-99.901813
UT,Utah,HYDROCODONE-ACETAMINOPHEN,2962,137461,Nurse Practitioner,19,555,9998,526,39.32098,-111.093731
VA,Virginia,HYDROCODONE-ACETAMINOPHEN,7390,532042,Colorectal Surgery (formerly proctology),17,459,999,59,37.431573,-78.656894
VT,Vermont,LISINOPRIL,709,53720,Nurse Practitioner,23,1110,10000,435,44.558803,-72.577841
WA,Washington,HYDROCODONE-ACETAMINOPHEN,8776,458140,Addiction Medicine,25,736,9999,400,47.751074,-120.740139
WI,Wisconsin,HYDROCODONE-ACETAMINOPHEN,7456,463181,Neurosurgery,18,492,999,56,43.78444,-88.787868
WV,West Virginia,HYDROCODONE-ACETAMINOPHEN,2521,205148,Rheumatology,22,960,999,45,38.597626,-80.454903
WY,Wyoming,HYDROCODONE-ACETAMINOPHEN,682,34780,Internal Medicine,14,600,998,71,43.075968,-107.290284
