provider_state,city,avg_charges,msdrg_total_count,cost_per_treatment,latitude,longitude,name,type
CO,Greeley,34044801.62,889,38295.61487,39.550051,-105.782067,Colorado,inpatients
CO,Pueblo,26717236.46,555,48139.16479,39.550051,-105.782067,Colorado,inpatients
CT,Bridgeport,78150415.13,1734,45069.44356,41.603221,-73.087749,Connecticut,inpatients
CT,Hartford,110850849.2,3609,30715.11477,41.603221,-73.087749,Connecticut,inpatients
CT,New Haven,119122001.4,2999,39720.57398,41.603221,-73.087749,Connecticut,inpatients
DC,Washington,105237116,2083,50521.89918,38.905985,-77.033418,District of Columbia,inpatients
DE,Salisbury,23399626.11,751,31157.95754,38.910832,-75.52767,Delaware,inpatients
DE,Wilmington,38307705.08,1216,31503.04694,38.910832,-75.52767,Delaware,inpatients
FL,Bradenton,50084002.59,971,51579.8173,27.664827,-81.515754,Florida,inpatients
FL,Clearwater,77248494.8,1594,48462.04191,27.664827,-81.515754,Florida,inpatients
FL,Dothan,1962289.927,131,14979.31242,27.664827,-81.515754,Florida,inpatients
FL,Fort Lauderdale,389271955.8,6885,56539.13664,27.664827,-81.515754,Florida,inpatients
FL,Fort Myers,178022842.8,3415,52129.67579,27.664827,-81.515754,Florida,inpatients
FL,Gainesville,82829028.5,1648,50260.33283,27.664827,-81.515754,Florida,inpatients
FL,Hudson,113391657.2,1650,68722.21647,27.664827,-81.515754,Florida,inpatients
FL,Jacksonville,194102196.4,3636,53383.44236,27.664827,-81.515754,Florida,inpatients
FL,Lakeland,35495660.26,802,44258.928,27.664827,-81.515754,Florida,inpatients
FL,Miami,382084047.4,6047,63185.71977,27.664827,-81.515754,Florida,inpatients
FL,Ocala,75412559.2,1553,48559.2783,27.664827,-81.515754,Florida,inpatients
FL,Orlando,429810591.8,8777,48970.10274,27.664827,-81.515754,Florida,inpatients
FL,Ormond Beach,38862022.45,1188,32712.14011,27.664827,-81.515754,Florida,inpatients
FL,Panama City,38372606.69,742,51715.10336,27.664827,-81.515754,Florida,inpatients
FL,Pensacola,129021128.9,2503,51546.59565,27.664827,-81.515754,Florida,inpatients
FL,Sarasota,73251440.45,1470,49830.91187,27.664827,-81.515754,Florida,inpatients
FL,St. Petersburg,88519636.15,1418,62425.69545,27.664827,-81.515754,Florida,inpatients
FL,Tallahassee,32775527.53,769,42620.97208,27.664827,-81.515754,Florida,inpatients
FL,Tampa,178828059.9,2887,61942.52161,27.664827,-81.515754,Florida,inpatients
GA,Albany,17517492.66,546,32083.31989,32.157435,-82.907123,Georgia,inpatients
GA,Atlanta,423546447.8,10694,39605.98914,32.157435,-82.907123,Georgia,inpatients
GA,Augusta,52523092.83,1256,41817.74907,32.157435,-82.907123,Georgia,inpatients
GA,Chattanooga,2115522.465,91,23247.49961,32.157435,-82.907123,Georgia,inpatients
GA,Columbus,21887095.93,736,29737.90209,32.157435,-82.907123,Georgia,inpatients
GA,Dothan,487196.684,37,13167.47795,32.157435,-82.907123,Georgia,inpatients
GA,Jacksonville,21109253,836,25250.30263,32.157435,-82.907123,Georgia,inpatients
GA,Macon,68365667.11,2103,32508.63867,32.157435,-82.907123,Georgia,inpatients
GA,Rome,33586250.97,840,39983.63211,32.157435,-82.907123,Georgia,inpatients
GA,Savannah,59614827.18,1674,35612.20261,32.157435,-82.907123,Georgia,inpatients
GA,Tallahassee,35717922.21,1252,28528.69186,32.157435,-82.907123,Georgia,inpatients
HI,Honolulu,62473447.39,1723,36258.53012,19.898682,-155.665857,Hawaii,inpatients
IA,Cedar Rapids,20853013.65,676,30847.65333,41.878003,-93.097702,Iowa,inpatients
IA,Davenport,25052711.77,963,26015.27702,41.878003,-93.097702,Iowa,inpatients
IA,Des Moines,65211402.56,1954,33373.28688,41.878003,-93.097702,Iowa,inpatients
IA,Dubuque,9755709.207,466,20934.9983,41.878003,-93.097702,Iowa,inpatients
IA,Iowa City,34548019.34,1062,32531.09166,41.878003,-93.097702,Iowa,inpatients
IA,Mason City,10101290.47,367,27523.95223,41.878003,-93.097702,Iowa,inpatients
IA,Omaha,10921087.61,366,29839.03719,41.878003,-93.097702,Iowa,inpatients
IA,Sioux City,13164407.19,511,25762.0493,41.878003,-93.097702,Iowa,inpatients
IA,Sioux Falls,2153151.888,130,16562.70683,41.878003,-93.097702,Iowa,inpatients
IA,Waterloo,13712089.36,572,23972.18419,41.878003,-93.097702,Iowa,inpatients
ID,Boise,34961148.75,1185,29503.07911,44.068202,-114.742041,Idaho,inpatients
ID,Idaho Falls,12833498.77,337,38081.59873,44.068202,-114.742041,Idaho,inpatients
ID,Salt Lake City,7235367.816,209,34618.98477,44.068202,-114.742041,Idaho,inpatients
ID,Spokane,14644278.45,502,29171.86943,44.068202,-114.742041,Idaho,inpatients
IL,Aurora,31942604.45,553,57762.39503,40.633125,-89.398528,Illinois,inpatients
IL,Bloomington,17719982.6,554,31985.52816,40.633125,-89.398528,Illinois,inpatients
IL,Blue Island,108971526.6,2718,40092.54105,40.633125,-89.398528,Illinois,inpatients
IL,Chicago,289758573.5,6213,46637.46556,40.633125,-89.398528,Illinois,inpatients
IL,Davenport,13938895.16,560,24890.88422,40.633125,-89.398528,Illinois,inpatients
IL,Elgin,76863683.49,1702,45160.80111,40.633125,-89.398528,Illinois,inpatients
IL,Evanston,92331805.82,2166,42627.79586,40.633125,-89.398528,Illinois,inpatients
IL,Evansville,2990003.38,174,17183.92747,40.633125,-89.398528,Illinois,inpatients
IL,Hinsdale,59509967.66,1347,44179.63449,40.633125,-89.398528,Illinois,inpatients
IL,Joliet,68576680.33,1669,41088.48432,40.633125,-89.398528,Illinois,inpatients
IL,Melrose Park,175703708,3596,48860.87543,40.633125,-89.398528,Illinois,inpatients
IL,Milwaukee,44497997.53,773,57565.32668,40.633125,-89.398528,Illinois,inpatients
IL,Paducah,12834397.89,198,64820.19136,40.633125,-89.398528,Illinois,inpatients
IL,Peoria,77036181.4,2053,37523.71232,40.633125,-89.398528,Illinois,inpatients
IL,Rockford,81320536.8,2103,38668.82397,40.633125,-89.398528,Illinois,inpatients
IL,Springfield,78161943.89,2422,32271.65313,40.633125,-89.398528,Illinois,inpatients
IL,St. Louis,82715288.22,2796,29583.43642,40.633125,-89.398528,Illinois,inpatients
IL,Urbana,43455344.04,1142,38051.96501,40.633125,-89.398528,Illinois,inpatients
IN,Cincinnati,3207438.14,168,19091.89369,40.551217,-85.602364,Indiana,inpatients
IN,Evansville,45947177.54,1557,29510.06907,40.551217,-85.602364,Indiana,inpatients
IN,Fort Wayne,60968691.43,1499,40672.90956,40.551217,-85.602364,Indiana,inpatients
IN,Gary,62418088.23,1804,34599.82718,40.551217,-85.602364,Indiana,inpatients
IN,Indianapolis,232864773.9,6873,33881.09616,40.551217,-85.602364,Indiana,inpatients
IN,Lafayette,25361597.03,665,38137.73989,40.551217,-85.602364,Indiana,inpatients
IN,Louisville,26614590.62,1028,25889.67959,40.551217,-85.602364,Indiana,inpatients
IN,Muncie,21308981.1,439,48539.82028,40.551217,-85.602364,Indiana,inpatients
IN,Munster,39820703.72,1255,31729.6444,40.551217,-85.602364,Indiana,inpatients
IN,South Bend,53680969.94,1574,34104.80937,40.551217,-85.602364,Indiana,inpatients
IN,Terre Haute,24642271,639,38563.80438,40.551217,-85.602364,Indiana,inpatients
KS,Amarillo,156230.6943,20,7811.534715,39.011902,-98.484246,Kansas,inpatients
KS,Joplin,5621057.807,223,25206.53725,39.011902,-98.484246,Kansas,inpatients
KS,Kansas City,111671578.5,2515,44402.21808,39.011902,-98.484246,Kansas,inpatients
KS,Topeka,36612756.77,1101,33254.09334,39.011902,-98.484246,Kansas,inpatients
KS,Tulsa,1369025.614,104,13163.70783,39.011902,-98.484246,Kansas,inpatients
KS,Wichita,106679316.9,2807,38004.74419,39.011902,-98.484246,Kansas,inpatients
KY,Covington,27036846.29,942,28701.53534,37.839333,-84.270018,Kentucky,inpatients
KY,Evansville,4266421.224,168,25395.36443,37.839333,-84.270018,Kentucky,inpatients
KY,Huntington,21199177.37,750,28265.56983,37.839333,-84.270018,Kentucky,inpatients
KY,Knoxville,2867307.068,210,13653.84318,37.839333,-84.270018,Kentucky,inpatients
KY,Lexington,167759632.7,5083,33004.05915,37.839333,-84.270018,Kentucky,inpatients
KY,Louisville,107265112.8,3175,33784.28749,37.839333,-84.270018,Kentucky,inpatients
KY,Nashville,25871134.97,938,27581.16735,37.839333,-84.270018,Kentucky,inpatients
KY,Owensboro,11690499.03,414,28237.92037,37.839333,-84.270018,Kentucky,inpatients
KY,Paducah,38537390.74,1483,25986.10299,37.839333,-84.270018,Kentucky,inpatients
LA,Alexandria,48831395.35,1063,45937.34275,31.244823,-92.145024,Louisiana,inpatients
LA,Baton Rouge,60583733.93,1521,39831.51474,31.244823,-92.145024,Louisiana,inpatients
LA,Houma,23677800.85,749,31612.5512,31.244823,-92.145024,Louisiana,inpatients
LA,Lafayette,67963295.09,2038,33348.03488,31.244823,-92.145024,Louisiana,inpatients
LA,Lake Charles,30436134.84,834,36494.16648,31.244823,-92.145024,Louisiana,inpatients
LA,Metairie,41869880.85,1026,40808.85073,31.244823,-92.145024,Louisiana,inpatients
LA,Monroe,33147302.76,1052,31508.84293,31.244823,-92.145024,Louisiana,inpatients
LA,New Orleans,60161642.66,1242,48439.32582,31.244823,-92.145024,Louisiana,inpatients
LA,Shreveport,64734119.7,2073,31227.26469,31.244823,-92.145024,Louisiana,inpatients
LA,Slidell,21165359,437,48433.31579,31.244823,-92.145024,Louisiana,inpatients
MA,Albany,7130309.723,371,19219.16367,42.407211,-71.382437,Massachusetts,inpatients
MA,Boston,320933083.8,12678,25314.17288,42.407211,-71.382437,Massachusetts,inpatients
MA,Providence,4372918.597,259,16883.85559,42.407211,-71.382437,Massachusetts,inpatients
MA,Springfield,35324337.79,1814,19473.17408,42.407211,-71.382437,Massachusetts,inpatients
MA,Worcester,37249401.54,1479,25185.53181,42.407211,-71.382437,Massachusetts,inpatients
MD,Baltimore,132986738,8006,16610.88409,39.045755,-76.641271,Maryland,inpatients
MD,Morgantown,883739.6418,92,9605.865672,39.045755,-76.641271,Maryland,inpatients
MD,Salisbury,8964673.305,669,13400.10957,39.045755,-76.641271,Maryland,inpatients
MD,Takoma Park,26292323.58,1821,14438.39845,39.045755,-76.641271,Maryland,inpatients
MD,Washington,47773927.75,3763,12695.7023,39.045755,-76.641271,Maryland,inpatients
MD,Wilmington,2560010.277,213,12018.82759,39.045755,-76.641271,Maryland,inpatients
ME,Bangor,22932294.77,1013,22638.00076,45.253783,-69.445469,Maine,inpatients
ME,Portland,59601734.66,2513,23717.36357,45.253783,-69.445469,Maine,inpatients
MI,Ann Arbor,94270645.9,2954,31912.87945,44.314844,-85.602364,Michigan,inpatients
MI,Dearborn,47683068.25,1741,27388.3218,44.314844,-85.602364,Michigan,inpatients
MI,Detroit,122044604.9,4263,28628.80714,44.314844,-85.602364,Michigan,inpatients
MI,Flint,48262446.03,1432,33702.82544,44.314844,-85.602364,Michigan,inpatients
MI,Grand Rapids,40054421.1,1817,22044.26037,44.314844,-85.602364,Michigan,inpatients
MI,Green Bay,2564498.128,145,17686.19398,44.314844,-85.602364,Michigan,inpatients
MI,Kalamazoo,47047943.79,1679,28021.40785,44.314844,-85.602364,Michigan,inpatients
MI,Lansing,41404546.05,1431,28933.99444,44.314844,-85.602364,Michigan,inpatients
MI,Marquette,7821023.138,342,22868.48871,44.314844,-85.602364,Michigan,inpatients
MI,Muskegon,11490786.93,567,20265.93816,44.314844,-85.602364,Michigan,inpatients
MI,Petoskey,11095207.73,521,21295.98413,44.314844,-85.602364,Michigan,inpatients
MI,Pontiac,23178193.77,911,25442.58372,44.314844,-85.602364,Michigan,inpatients
MI,Royal Oak,72789280.86,2251,32336.41975,44.314844,-85.602364,Michigan,inpatients
MI,Saginaw,57426854.02,2098,27372.18972,44.314844,-85.602364,Michigan,inpatients
MI,St. Joseph,9475290.371,436,21732.31736,44.314844,-85.602364,Michigan,inpatients
MI,Toledo,5897946.957,288,20478.98249,44.314844,-85.602364,Michigan,inpatients
MI,Traverse City,17067203.77,611,27933.23039,44.314844,-85.602364,Michigan,inpatients
MN,Duluth,24365563.53,799,30495.07326,46.729553,-94.6859,Minnesota,inpatients
MN,Fargo/Moorhead MN,6790811.25,341,19914.40249,46.729553,-94.6859,Minnesota,inpatients
MN,La Crosse,1704596.126,115,14822.57501,46.729553,-94.6859,Minnesota,inpatients
MN,Minneapolis,176064016.1,5331,33026.45209,46.729553,-94.6859,Minnesota,inpatients
MN,Rochester,33098723.62,1029,32165.91217,46.729553,-94.6859,Minnesota,inpatients
MN,Sioux Falls,413994.4303,28,14785.51537,46.729553,-94.6859,Minnesota,inpatients
MN,St. Cloud,18233864.8,488,37364.47705,46.729553,-94.6859,Minnesota,inpatients
MN,St. Paul,66048918.96,1819,36310.56567,46.729553,-94.6859,Minnesota,inpatients
MO,Cape Girardeau,44085629.34,985,44756.9841,37.964253,-91.831833,Missouri,inpatients
MO,Columbia,74121585.77,2409,30768.61178,37.964253,-91.831833,Missouri,inpatients
MO,Jonesboro,3651331.192,112,32601.17136,37.964253,-91.831833,Missouri,inpatients
MO,Joplin,28230109.66,778,36285.48799,37.964253,-91.831833,Missouri,inpatients
MO,Kansas City,168146146.1,4024,41785.82161,37.964253,-91.831833,Missouri,inpatients
MO,Springfield,53983429.72,1654,32638.10745,37.964253,-91.831833,Missouri,inpatients
MO,St. Louis,242676951.2,6681,36323.44727,37.964253,-91.831833,Missouri,inpatients
MS,Birmingham,716406.9396,51,14047.19489,32.354668,-89.398528,Mississippi,inpatients
MS,Gulfport,49669508.8,703,70653.63983,32.354668,-89.398528,Mississippi,inpatients
MS,Hattiesburg,36016056.18,1080,33348.20017,32.354668,-89.398528,Mississippi,inpatients
MS,Jackson,123307186.7,3229,38187.42233,32.354668,-89.398528,Mississippi,inpatients
MS,Memphis,45704574.44,1431,31938.90597,32.354668,-89.398528,Mississippi,inpatients
MS,Meridian,17397004.79,674,25811.5798,32.354668,-89.398528,Mississippi,inpatients
MS,Mobile,23820505.99,478,49833.69453,32.354668,-89.398528,Mississippi,inpatients
MS,Oxford,12702692.31,553,22970.51051,32.354668,-89.398528,Mississippi,inpatients
MS,Slidell,2984247.021,158,18887.63937,32.354668,-89.398528,Mississippi,inpatients
MS,Tupelo,33940509.49,1298,26148.31239,32.354668,-89.398528,Mississippi,inpatients
MT,Billings,24541589.23,951,25806.08752,46.879682,-110.362566,Montana,inpatients
MT,Great Falls,10187979.95,392,25989.74477,46.879682,-110.362566,Montana,inpatients
MT,Missoula,21691801.74,762,28466.93142,46.879682,-110.362566,Montana,inpatients
NC,Asheville,33804486.07,1451,23297.37152,35.759573,-79.0193,North Carolina,inpatients
NC,Atlanta,1514886.41,93,16289.10119,35.759573,-79.0193,North Carolina,inpatients
NC,Charlotte,158982229,4897,32465.22953,35.759573,-79.0193,North Carolina,inpatients
NC,Durham,114721473.9,3314,34617.22206,35.759573,-79.0193,North Carolina,inpatients
NC,Greensboro,18360065.75,832,22067.38672,35.759573,-79.0193,North Carolina,inpatients
NC,Greenville,65413447.67,2349,27847.35959,35.759573,-79.0193,North Carolina,inpatients
NC,Hickory,27727552.51,741,37419.0992,35.759573,-79.0193,North Carolina,inpatients
NC,Johnson City,3688842.043,178,20723.8317,35.759573,-79.0193,North Carolina,inpatients
NC,Norfolk,5138355.204,228,22536.64563,35.759573,-79.0193,North Carolina,inpatients
NC,Raleigh,123970003,3842,32267.04919,35.759573,-79.0193,North Carolina,inpatients
NC,Wilmington,25617512.08,951,26937.44699,35.759573,-79.0193,North Carolina,inpatients
NC,Winston-Salem,69860923.11,2412,28963.89847,35.759573,-79.0193,North Carolina,inpatients
ND,Bismarck,13688123.94,555,24663.28639,47.551493,-101.002012,North Dakota,inpatients
ND,Fargo/Moorhead MN,22310411.68,707,31556.45216,47.551493,-101.002012,North Dakota,inpatients
ND,Grand Forks,9139063.963,329,27778.30992,47.551493,-101.002012,North Dakota,inpatients
ND,Minot,5413278.418,248,21827.73556,47.551493,-101.002012,North Dakota,inpatients
NE,Denver,6469337.6,208,31102.58462,41.492537,-99.901813,Nebraska,inpatients
NE,Lincoln,36521990.23,1216,30034.53144,41.492537,-99.901813,Nebraska,inpatients
NE,Omaha,114603521.3,2975,38522.19204,41.492537,-99.901813,Nebraska,inpatients
NH,Lebanon,23144095.4,602,38445.3412,43.193852,-71.572395,New Hampshire,inpatients
NH,Manchester,75759304.72,2406,31487.65782,43.193852,-71.572395,New Hampshire,inpatients
NH,Portland,12413934.72,426,29140.69183,43.193852,-71.572395,New Hampshire,inpatients
NJ,Allentown,14645816.71,215,68120.07771,40.058324,-74.405661,New Jersey,inpatients
NJ,Camden,542240163.1,7530,72010.64583,40.058324,-74.405661,New Jersey,inpatients
NJ,Hackensack,166166413.9,2213,75086.4952,40.058324,-74.405661,New Jersey,inpatients
NJ,Morristown,113269864.3,1838,61626.69442,40.058324,-74.405661,New Jersey,inpatients
NJ,New Brunswick,202614525.8,2364,85708.34423,40.058324,-74.405661,New Jersey,inpatients
NJ,Newark,276107277.6,3401,81184.14513,40.058324,-74.405661,New Jersey,inpatients
NJ,Paterson,55511300.68,801,69302.49773,40.058324,-74.405661,New Jersey,inpatients
NJ,Philadelphia,136073797.2,1641,82921.26583,40.058324,-74.405661,New Jersey,inpatients
NJ,Ridgewood,28519515.09,511,55811.18413,40.058324,-74.405661,New Jersey,inpatients
NJ,Wilmington,8826837.658,198,44579.98817,40.058324,-74.405661,New Jersey,inpatients
NM,Albuquerque,86334681.23,2503,34492.48151,34.97273,-105.032363,New Mexico,inpatients
NM,El Paso,24771016.01,684,36214.93569,34.97273,-105.032363,New Mexico,inpatients
NM,Lubbock,11408141.16,361,31601.49906,34.97273,-105.032363,New Mexico,inpatients
NV,Las Vegas,292164652.1,3570,81838.83813,38.80261,-116.419389,Nevada,inpatients
NV,Reno,60348718.18,1385,43573.08172,38.80261,-116.419389,Nevada,inpatients
NV,Salt Lake City,2205455.735,68,32433.17258,38.80261,-116.419389,Nevada,inpatients
NY,Albany,141649435.1,4344,32608.06516,43.299428,-74.217933,New York,inpatients
NY,Binghamton,19091620.24,880,21695.02301,43.299428,-74.217933,New York,inpatients
NY,Bronx,67799775.81,1764,38435.24706,43.299428,-74.217933,New York,inpatients
NY,Buffalo,50336707.18,2365,21284.01995,43.299428,-74.217933,New York,inpatients
NY,Burlington,16116326.33,760,21205.69254,43.299428,-74.217933,New York,inpatients
NY,East Long Island,466270916.4,9324,50007.60579,43.299428,-74.217933,New York,inpatients
NY,Elmira,25821398.33,1098,23516.75622,43.299428,-74.217933,New York,inpatients
NY,Erie,2491339.167,182,13688.67674,43.299428,-74.217933,New York,inpatients
NY,Hackensack,15087256.77,325,46422.32851,43.299428,-74.217933,New York,inpatients
NY,Manhattan,387283657.2,7977,48550.03851,43.299428,-74.217933,New York,inpatients
NY,Morristown,5038496.088,142,35482.36682,43.299428,-74.217933,New York,inpatients
NY,New Haven,8057410.496,221,36458.87102,43.299428,-74.217933,New York,inpatients
NY,Ridgewood,24059096.78,462,52075.96706,43.299428,-74.217933,New York,inpatients
NY,Rochester,42550566.56,2223,19141.05558,43.299428,-74.217933,New York,inpatients
NY,Sayre,2480125.717,166,14940.51637,43.299428,-74.217933,New York,inpatients
NY,Syracuse,64327174.69,2548,25246.14391,43.299428,-74.217933,New York,inpatients
NY,White Plains,137967300.1,3015,45760.29853,43.299428,-74.217933,New York,inpatients
OH,Akron,58641383.61,1491,39330.23717,40.417287,-82.907123,Ohio,inpatients
OH,Canton,24890175.03,1347,18478.22942,40.417287,-82.907123,Ohio,inpatients
OH,Cincinnati,129556844.6,3771,34356.09775,40.417287,-82.907123,Ohio,inpatients
OH,Cleveland,217772468.6,6503,33488.00071,40.417287,-82.907123,Ohio,inpatients
OH,Columbus,181315029.5,6054,29949.62496,40.417287,-82.907123,Ohio,inpatients
OH,Dayton,108844008.9,2729,39884.20992,40.417287,-82.907123,Ohio,inpatients
OH,Elyria,17551457.84,733,23944.69009,40.417287,-82.907123,Ohio,inpatients
OH,Fort Wayne,3214797.376,214,15022.41764,40.417287,-82.907123,Ohio,inpatients
OH,Huntington,51811.07815,2,25905.53908,40.417287,-82.907123,Ohio,inpatients
OH,Kettering,40093456.67,950,42203.6386,40.417287,-82.907123,Ohio,inpatients
OH,Pittsburgh,9556326.317,578,16533.43654,40.417287,-82.907123,Ohio,inpatients
OH,Toledo,112565513.6,2653,42429.51887,40.417287,-82.907123,Ohio,inpatients
OH,Youngstown,49210308.72,1500,32806.87248,40.417287,-82.907123,Ohio,inpatients
OK,Amarillo,164158.977,12,13679.91475,35.007752,-97.092877,Oklahoma,inpatients
OK,Dallas,14826339.14,318,46623.70798,35.007752,-97.092877,Oklahoma,inpatients
OK,Fort Smith,1733097.51,154,11253.87993,35.007752,-97.092877,Oklahoma,inpatients
OK,Joplin,4090065.573,227,18017.91001,35.007752,-97.092877,Oklahoma,inpatients
OK,Lawton,16729090.21,613,27290.52236,35.007752,-97.092877,Oklahoma,inpatients
OK,Oklahoma City,219854557.3,5187,42385.68677,35.007752,-97.092877,Oklahoma,inpatients
OK,Texarkana,724937.4001,74,9796.451353,35.007752,-97.092877,Oklahoma,inpatients
OK,Tulsa,105418743.6,3577,29471.27303,35.007752,-97.092877,Oklahoma,inpatients
OR,Bend,13651184.97,391,34913.51656,43.804133,-120.554201,Oregon,inpatients
OR,Boise,1871543.431,97,19294.26218,43.804133,-120.554201,Oregon,inpatients
OR,Eugene,39587392.57,1306,30311.93918,43.804133,-120.554201,Oregon,inpatients
OR,Medford,36906635.47,994,37129.41194,43.804133,-120.554201,Oregon,inpatients
OR,Portland,76542954.92,2463,31077.12339,43.804133,-120.554201,Oregon,inpatients
OR,Salem,10347555.07,348,29734.35364,43.804133,-120.554201,Oregon,inpatients
PA,Allentown,178625332.4,3273,54575.41471,41.203322,-77.194525,Pennsylvania,inpatients
PA,Altoona,13390506.34,629,21288.56334,41.203322,-77.194525,Pennsylvania,inpatients
PA,Danville,63426524.51,1533,41374.11905,41.203322,-77.194525,Pennsylvania,inpatients
PA,Erie,60095684.95,1865,32222.88737,41.203322,-77.194525,Pennsylvania,inpatients
PA,Harrisburg,76487987.2,2501,30582.96169,41.203322,-77.194525,Pennsylvania,inpatients
PA,Johnstown,10471729.59,502,20860.0191,41.203322,-77.194525,Pennsylvania,inpatients
PA,Lancaster,52227522.63,1203,43414.39953,41.203322,-77.194525,Pennsylvania,inpatients
PA,Morgantown,720246.3388,66,10912.82332,41.203322,-77.194525,Pennsylvania,inpatients
PA,Philadelphia,680284321.2,9273,73361.83772,41.203322,-77.194525,Pennsylvania,inpatients
PA,Pittsburgh,207082893.2,6092,33992.59574,41.203322,-77.194525,Pennsylvania,inpatients
