provider_state,city,apc,apc_count,apc_total_payments,avg_pay_apc
AL,Birmingham,0203 - Level IV Nerve Injections,8,7572.7842587,946.5980323375
AL,Birmingham,0204 - Level I Nerve Injections,37,5867.8027591,158.589263759459
AL,Birmingham,0206 - Level II Nerve Injections,27,6555.7966945,242.807284981482
AL,Birmingham,0207 - Level III Nerve Injections,112,54026.5273099,482.379708124107
AL,Birmingham,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",81,55457.6299201,684.662097779013
AL,Birmingham,0265 - Level I Diagnostic and Screening Ultrasound,129,7853.03010326,60.8762023508527
AL,Birmingham,0267 - Level III Diagnostic and Screening Ultrasound,143,20302.1154091,141.972835028671
AL,Birmingham,0269 - Level II Echocardiogram Without Contrast,142,49769.3257224,350.488209312676
AL,Birmingham,0270 - Level III Echocardiogram Without Contrast,53,26839.7050671,506.409529567925
AL,Birmingham,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,123,36557.3305532,297.214069538211
AL,Birmingham,0368 - Level II Pulmonary Tests,59,3437.11555669,58.2561958761017
AL,Birmingham,0369 - Level III Pulmonary Tests,1,210.7468421,210.7468421
AL,Birmingham,0377 - Level II Cardiac Imaging,117,81910.1866702,700.087065557265
AL,Birmingham,0604 - Level 1 Hospital Clinic Visits,57,2747.76675088,48.2064342259649
AL,Birmingham,0605 - Level 2 Hospital Clinic Visits,56,3658.46129231,65.3296659341072
AL,Birmingham,0606 - Level 3 Hospital Clinic Visits,46,3975.35104348,86.4206748582609
AL,Birmingham,0607 - Level 4 Hospital Clinic Visits,44,5055.6141027,114.900320515909
AL,Birmingham,0608 - Level 5 Hospital Clinic Visits,11,1681.7535902,152.886690018182
AL,Birmingham,0633 - Level 3 Examinations & Related Services,1,289.7028571,289.7028571
AL,Birmingham,0634 - Hospital Clinic Visits,25,1985.86252239,79.4345008956
AL,Birmingham,0690 - Level I Electronic Analysis of Devices,9,278.67644271,30.96404919
AL,Birmingham,0692 - Level II Electronic Analysis of Devices,4,389.41692843,97.3542321075
AL,Birmingham,0698 - Level II Eye Tests & Treatments,1,66.1775,66.1775
AL,Columbus,0204 - Level I Nerve Injections,2,327.713005,163.8565025
AL,Columbus,0207 - Level III Nerve Injections,4,2018.7760033,504.694000825
AL,Columbus,0267 - Level III Diagnostic and Screening Ultrasound,4,589.0106593,147.252664825
AL,Columbus,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,2,578.1619423,289.08097115
AL,Dothan,0012 - Level I Debridement & Destruction,2,47.2145098,23.6072549
AL,Dothan,0013 - Level II Debridement & Destruction,15,716.31771293,47.7545141953333
AL,Dothan,0015 - Level III Debridement & Destruction,7,656.31954108,93.75993444
AL,Dothan,0019 - Level I Excision/ Biopsy,7,1980.6156917,282.945098814286
AL,Dothan,0020 - Level II Excision/ Biopsy,11,5606.3679443,509.669813118182
AL,Dothan,0074 - Level IV Endoscopy Upper Airway,4,5627.258424,1406.814606
AL,Dothan,0078 - Level III Pulmonary Treatment,8,695.85871252,86.982339065
AL,Dothan,0096 - Level II Noninvasive Physiologic Studies,21,1997.08475586,95.0992740885714
AL,Dothan,0203 - Level IV Nerve Injections,1,1239.866,1239.866
AL,Dothan,0204 - Level I Nerve Injections,10,1532.9178358,153.29178358
AL,Dothan,0206 - Level II Nerve Injections,4,936.3245321,234.081133025
AL,Dothan,0207 - Level III Nerve Injections,16,7511.8702315,469.49188946875
AL,Dothan,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",11,7083.6462453,643.967840481818
AL,Dothan,0265 - Level I Diagnostic and Screening Ultrasound,25,1495.68148905,59.827259562
AL,Dothan,0267 - Level III Diagnostic and Screening Ultrasound,27,3742.4865887,138.610614396296
AL,Dothan,0269 - Level II Echocardiogram Without Contrast,27,9269.0333093,343.297529974074
AL,Dothan,0270 - Level III Echocardiogram Without Contrast,5,2500.5862524,500.11725048
AL,Dothan,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,14,4009.0502042,286.360728871429
AL,Dothan,0368 - Level II Pulmonary Tests,15,831.2516381,55.4167758733333
AL,Dothan,0369 - Level III Pulmonary Tests,2,333.1681818,166.5840909
AL,Dothan,0377 - Level II Cardiac Imaging,22,15250.5195626,693.205434663636
AL,Dothan,0604 - Level 1 Hospital Clinic Visits,15,698.58594224,46.5723961493333
AL,Dothan,0605 - Level 2 Hospital Clinic Visits,6,382.33234434,63.72205739
AL,Dothan,0606 - Level 3 Hospital Clinic Visits,5,416.23448602,83.246897204
AL,Dothan,0607 - Level 4 Hospital Clinic Visits,5,558.4701478,111.69402956
AL,Dothan,0608 - Level 5 Hospital Clinic Visits,1,148.3406452,148.3406452
AL,Dothan,0634 - Hospital Clinic Visits,4,316.95304863,79.2382621575
AL,Dothan,0690 - Level I Electronic Analysis of Devices,1,30.47396226,30.47396226
AL,Dothan,0692 - Level II Electronic Analysis of Devices,7,678.19398974,96.8848556771428
AL,Huntsville,0013 - Level II Debridement & Destruction,7,410.13135912,58.59019416
AL,Huntsville,0015 - Level III Debridement & Destruction,7,697.71191992,99.6731314171429
AL,Huntsville,0019 - Level I Excision/ Biopsy,1,330.15,330.15
AL,Huntsville,0020 - Level II Excision/ Biopsy,9,4635.5156014,515.057289044445
AL,Huntsville,0074 - Level IV Endoscopy Upper Airway,5,6932.441856,1386.4883712
AL,Huntsville,0078 - Level III Pulmonary Treatment,15,1377.03020385,91.80201359
AL,Huntsville,0096 - Level II Noninvasive Physiologic Studies,19,1892.09755034,99.5840815968421
AL,Huntsville,0203 - Level IV Nerve Injections,3,2752.65483,917.55161
AL,Huntsville,0204 - Level I Nerve Injections,8,1294.0006357,161.7500794625
AL,Huntsville,0206 - Level II Nerve Injections,3,718.2090991,239.403033033333
AL,Huntsville,0207 - Level III Nerve Injections,17,8388.2384256,493.425789741177
AL,Huntsville,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",17,11989.7190915,705.277593617647
AL,Huntsville,0265 - Level I Diagnostic and Screening Ultrasound,22,1337.85677,60.8116713636364
AL,Huntsville,0267 - Level III Diagnostic and Screening Ultrasound,22,3152.1610726,143.280048754545
AL,Huntsville,0269 - Level II Echocardiogram Without Contrast,22,7862.1447238,357.370214718182
AL,Huntsville,0270 - Level III Echocardiogram Without Contrast,6,3035.0882873,505.848047883333
AL,Huntsville,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,21,6494.448807,309.259467
AL,Huntsville,0368 - Level II Pulmonary Tests,13,735.48857095,56.5760439192308
AL,Huntsville,0369 - Level III Pulmonary Tests,1,195.57,195.57
AL,Huntsville,0377 - Level II Cardiac Imaging,22,15359.0408664,698.1382212
AL,Huntsville,0604 - Level 1 Hospital Clinic Visits,8,388.49338932,48.561673665
AL,Huntsville,0605 - Level 2 Hospital Clinic Visits,9,590.25945932,65.5843843688889
AL,Huntsville,0606 - Level 3 Hospital Clinic Visits,5,428.18283656,85.636567312
AL,Huntsville,0607 - Level 4 Hospital Clinic Visits,5,577.0262513,115.40525026
AL,Huntsville,0608 - Level 5 Hospital Clinic Visits,2,299.5226083,149.76130415
AL,Huntsville,0634 - Hospital Clinic Visits,4,328.03768167,82.0094204175
AL,Huntsville,0690 - Level I Electronic Analysis of Devices,2,61.50142857,30.750714285
AL,Meridian,0267 - Level III Diagnostic and Screening Ultrasound,3,386.59,128.863333333333
AL,Mobile,0013 - Level II Debridement & Destruction,17,932.89262186,54.87603658
AL,Mobile,0015 - Level III Debridement & Destruction,22,2134.62530644,97.02842302
AL,Mobile,0019 - Level I Excision/ Biopsy,2,478.1811688,239.0905844
AL,Mobile,0020 - Level II Excision/ Biopsy,14,6932.2257262,495.158980442857
AL,Mobile,0078 - Level III Pulmonary Treatment,13,1110.53458187,85.4257370669231
AL,Mobile,0096 - Level II Noninvasive Physiologic Studies,24,2320.54584404,96.6894101683333
AL,Mobile,0203 - Level IV Nerve Injections,6,5059.8092205,843.30153675
AL,Mobile,0204 - Level I Nerve Injections,21,2993.42361221,142.54398153381
AL,Mobile,0206 - Level II Nerve Injections,11,2607.5151596,237.046832690909
AL,Mobile,0207 - Level III Nerve Injections,28,13028.6866837,465.310238703571
AL,Mobile,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",24,15933.3678251,663.890326045833
AL,Mobile,0265 - Level I Diagnostic and Screening Ultrasound,38,2248.76292625,59.1779717434211
AL,Mobile,0267 - Level III Diagnostic and Screening Ultrasound,43,5911.5021525,137.476794244186
AL,Mobile,0269 - Level II Echocardiogram Without Contrast,39,13270.7712713,340.27618644359
AL,Mobile,0270 - Level III Echocardiogram Without Contrast,19,9245.1960915,486.589267973684
AL,Mobile,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,43,12141.6355537,282.363617527907
AL,Mobile,0368 - Level II Pulmonary Tests,15,831.70862208,55.447241472
AL,Mobile,0369 - Level III Pulmonary Tests,4,699.020625,174.75515625
AL,Mobile,0377 - Level II Cardiac Imaging,31,20715.2652268,668.234362154839
AL,Mobile,0604 - Level 1 Hospital Clinic Visits,14,648.49768573,46.3212632664286
AL,Mobile,0605 - Level 2 Hospital Clinic Visits,10,632.28717046,63.228717046
AL,Mobile,0606 - Level 3 Hospital Clinic Visits,8,663.54508939,82.94313617375
AL,Mobile,0607 - Level 4 Hospital Clinic Visits,9,997.9121828,110.879131422222
AL,Mobile,0608 - Level 5 Hospital Clinic Visits,3,452.3767692,150.7922564
AL,Mobile,0634 - Hospital Clinic Visits,4,308.72703117,77.1817577925
AL,Mobile,0690 - Level I Electronic Analysis of Devices,2,61.15485294,30.57742647
AL,Montgomery,0012 - Level I Debridement & Destruction,1,44.14459184,44.14459184
AL,Montgomery,0013 - Level II Debridement & Destruction,8,459.311008,57.413876
AL,Montgomery,0015 - Level III Debridement & Destruction,8,776.07116475,97.00889559375
AL,Montgomery,0020 - Level II Excision/ Biopsy,6,2995.5284765,499.254746083333
AL,Montgomery,0078 - Level III Pulmonary Treatment,15,1362.89539353,90.859692902
AL,Montgomery,0096 - Level II Noninvasive Physiologic Studies,22,2124.19120932,96.5541458781818
AL,Montgomery,0204 - Level I Nerve Injections,4,640.7285227,160.182130675
AL,Montgomery,0206 - Level II Nerve Injections,7,1712.1109313,244.5872759
AL,Montgomery,0207 - Level III Nerve Injections,11,5242.4460022,476.5860002
AL,Montgomery,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",18,12404.0177093,689.112094961111
AL,Montgomery,0265 - Level I Diagnostic and Screening Ultrasound,34,2048.25108285,60.2426789073529
AL,Montgomery,0267 - Level III Diagnostic and Screening Ultrasound,48,6706.8418767,139.72587243125
AL,Montgomery,0269 - Level II Echocardiogram Without Contrast,48,16562.8932663,345.06027638125
AL,Montgomery,0270 - Level III Echocardiogram Without Contrast,9,4469.8957981,496.655088677778
AL,Montgomery,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,37,10778.7633274,291.317927767567
AL,Montgomery,0368 - Level II Pulmonary Tests,16,906.90571202,56.68160700125
AL,Montgomery,0369 - Level III Pulmonary Tests,1,178.1425,178.1425
AL,Montgomery,0377 - Level II Cardiac Imaging,23,16055.068,698.046434782609
AL,Montgomery,0604 - Level 1 Hospital Clinic Visits,14,663.19155539,47.370825385
AL,Montgomery,0605 - Level 2 Hospital Clinic Visits,3,193.91721876,64.63907292
AL,Montgomery,0606 - Level 3 Hospital Clinic Visits,3,256.80686254,85.6022875133333
AL,Montgomery,0607 - Level 4 Hospital Clinic Visits,3,335.5319765,111.843992166667
AL,Montgomery,0608 - Level 5 Hospital Clinic Visits,3,450.075408,150.025136
AL,Montgomery,0633 - Level 3 Examinations & Related Services,1,272.795,272.795
AL,Montgomery,0634 - Hospital Clinic Visits,3,227.48775446,75.8292514866667
AL,Montgomery,0690 - Level I Electronic Analysis of Devices,1,29.37,29.37
AL,Pensacola,0013 - Level II Debridement & Destruction,3,169.71231972,56.57077324
AL,Pensacola,0015 - Level III Debridement & Destruction,2,199.76302461,99.881512305
AL,Pensacola,0019 - Level I Excision/ Biopsy,4,1056.1568512,264.0392128
AL,Pensacola,0020 - Level II Excision/ Biopsy,4,1968.4162034,492.10405085
AL,Pensacola,0078 - Level III Pulmonary Treatment,8,686.38967886,85.7987098575
AL,Pensacola,0096 - Level II Noninvasive Physiologic Studies,3,264.84486666,88.28162222
AL,Pensacola,0207 - Level III Nerve Injections,8,3702.7743018,462.846787725
AL,Pensacola,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",8,5187.4379594,648.429744925
AL,Pensacola,0265 - Level I Diagnostic and Screening Ultrasound,12,693.81947013,57.8182891775
AL,Pensacola,0267 - Level III Diagnostic and Screening Ultrasound,12,1602.7984241,133.566535341667
AL,Pensacola,0269 - Level II Echocardiogram Without Contrast,11,3650.0592339,331.823566718182
AL,Pensacola,0270 - Level III Echocardiogram Without Contrast,3,1395.5450475,465.1816825
AL,Pensacola,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,11,3020.817087,274.619735181818
AL,Pensacola,0368 - Level II Pulmonary Tests,7,399.59722773,57.0853182471429
AL,Pensacola,0377 - Level II Cardiac Imaging,7,4680.7096489,668.672806985714
AL,Pensacola,0604 - Level 1 Hospital Clinic Visits,3,135.4903859,45.1634619666667
AL,Pensacola,0605 - Level 2 Hospital Clinic Visits,1,58.00973684,58.00973684
AL,Pensacola,0606 - Level 3 Hospital Clinic Visits,1,76.65523256,76.65523256
AL,Pensacola,0607 - Level 4 Hospital Clinic Visits,1,102.3281081,102.3281081
AL,Pensacola,0634 - Hospital Clinic Visits,2,155.860222,77.930111
AL,Pensacola,0690 - Level I Electronic Analysis of Devices,1,29.37,29.37
AL,Pensacola,0692 - Level II Electronic Analysis of Devices,3,274.45545455,91.4851515166667
AL,Rome,0078 - Level III Pulmonary Treatment,4,412.60406451,103.1510161275
AL,Rome,0096 - Level II Noninvasive Physiologic Studies,4,432.8403,108.210075
AL,Rome,0207 - Level III Nerve Injections,2,1154.0663595,577.03317975
AL,Rome,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",3,2238.0686335,746.022877833333
AL,Rome,0265 - Level I Diagnostic and Screening Ultrasound,4,260.64696969,65.1617424225
AL,Rome,0267 - Level III Diagnostic and Screening Ultrasound,4,615.4897672,153.8724418
AL,Rome,0269 - Level II Echocardiogram Without Contrast,4,1521.5283226,380.38208065
AL,Rome,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,4,1242.5456633,310.636415825
AL,Tupelo,0078 - Level III Pulmonary Treatment,2,172.18760168,86.09380084
AL,Tupelo,0267 - Level III Diagnostic and Screening Ultrasound,4,563.4674959,140.866873975
AL,Tupelo,0269 - Level II Echocardiogram Without Contrast,4,1393.249478,348.3123695
AL,Tupelo,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,4,1132.7607277,283.190181925
AL,Tupelo,0368 - Level II Pulmonary Tests,3,158.46684211,52.8222807033333
AL,Tupelo,0377 - Level II Cardiac Imaging,1,643,643
AL,Tupelo,0634 - Hospital Clinic Visits,1,81.73,81.73
AL,Tuscaloosa,0013 - Level II Debridement & Destruction,4,188.70059838,47.175149595
AL,Tuscaloosa,0015 - Level III Debridement & Destruction,4,388.76029014,97.190072535
AL,Tuscaloosa,0019 - Level I Excision/ Biopsy,4,1060.6764647,265.169116175
AL,Tuscaloosa,0020 - Level II Excision/ Biopsy,6,3110.6417667,518.44029445
AL,Tuscaloosa,0074 - Level IV Endoscopy Upper Airway,1,1389.299333,1389.299333
AL,Tuscaloosa,0078 - Level III Pulmonary Treatment,5,449.2933533,89.85867066
AL,Tuscaloosa,0096 - Level II Noninvasive Physiologic Studies,7,683.86461039,97.6949443414286
AL,Tuscaloosa,0203 - Level IV Nerve Injections,2,2150.3815507,1075.19077535
AL,Tuscaloosa,0204 - Level I Nerve Injections,5,813.5676554,162.71353108
AL,Tuscaloosa,0206 - Level II Nerve Injections,4,923.0142453,230.753561325
AL,Tuscaloosa,0207 - Level III Nerve Injections,5,2364.8867655,472.9773531
AL,Tuscaloosa,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",4,2904.9553362,726.23883405
AL,Tuscaloosa,0265 - Level I Diagnostic and Screening Ultrasound,13,816.52893456,62.8099180430769
AL,Tuscaloosa,0267 - Level III Diagnostic and Screening Ultrasound,25,3697.0187946,147.880751784
AL,Tuscaloosa,0269 - Level II Echocardiogram Without Contrast,21,7663.3500173,364.921429395238
AL,Tuscaloosa,0270 - Level III Echocardiogram Without Contrast,1,539.56,539.56
AL,Tuscaloosa,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,13,4168.6103457,320.662334284615
AL,Tuscaloosa,0368 - Level II Pulmonary Tests,9,531.39363925,59.0437376944445
AL,Tuscaloosa,0377 - Level II Cardiac Imaging,4,2970.5715163,742.642879075
AL,Tuscaloosa,0604 - Level 1 Hospital Clinic Visits,6,299.28198904,49.8803315066667
AL,Tuscaloosa,0605 - Level 2 Hospital Clinic Visits,6,409.84024339,68.3067072316667
AL,Tuscaloosa,0606 - Level 3 Hospital Clinic Visits,3,270.23006855,90.0766895166667
AL,Tuscaloosa,0607 - Level 4 Hospital Clinic Visits,3,358.7197101,119.5732367
AL,Tuscaloosa,0608 - Level 5 Hospital Clinic Visits,2,320.09,160.045
AL,Tuscaloosa,0634 - Hospital Clinic Visits,2,168.4994997,84.24974985
AR,Fort Smith,0012 - Level I Debridement & Destruction,4,81.46207193,20.3655179825
AR,Fort Smith,0013 - Level II Debridement & Destruction,11,615.42135122,55.9473955654546
AR,Fort Smith,0015 - Level III Debridement & Destruction,14,1279.9767388,91.4269099142857
AR,Fort Smith,0019 - Level I Excision/ Biopsy,4,1012.1539644,253.0384911
AR,Fort Smith,0020 - Level II Excision/ Biopsy,7,3544.7410781,506.391582585714
AR,Fort Smith,0073 - Level III Endoscopy Upper Airway,1,989.4578571,989.4578571
AR,Fort Smith,0074 - Level IV Endoscopy Upper Airway,3,3726.759373,1242.25312433333
AR,Fort Smith,0078 - Level III Pulmonary Treatment,9,811.52362011,90.1692911233334
AR,Fort Smith,0096 - Level II Noninvasive Physiologic Studies,9,857.76111876,95.3067909733333
AR,Fort Smith,0203 - Level IV Nerve Injections,2,2342.479615,1171.2398075
AR,Fort Smith,0204 - Level I Nerve Injections,7,1105.3615994,157.908799914286
AR,Fort Smith,0206 - Level II Nerve Injections,5,1235.758641,247.1517282
AR,Fort Smith,0207 - Level III Nerve Injections,11,5087.2918159,462.481074172727
AR,Fort Smith,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",10,6788.7809265,678.87809265
AR,Fort Smith,0265 - Level I Diagnostic and Screening Ultrasound,14,832.4859863,59.4632847357143
AR,Fort Smith,0267 - Level III Diagnostic and Screening Ultrasound,16,2224.6702532,139.041890825
AR,Fort Smith,0269 - Level II Echocardiogram Without Contrast,16,5538.6712387,346.16695241875
AR,Fort Smith,0270 - Level III Echocardiogram Without Contrast,5,2472.0578431,494.41156862
AR,Fort Smith,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,14,4011.9865767,286.570469764286
AR,Fort Smith,0368 - Level II Pulmonary Tests,9,481.65917724,53.51768636
AR,Fort Smith,0369 - Level III Pulmonary Tests,1,179.13,179.13
AR,Fort Smith,0377 - Level II Cardiac Imaging,15,10459.7547848,697.316985653333
AR,Fort Smith,0604 - Level 1 Hospital Clinic Visits,12,566.51782794,47.209818995
AR,Fort Smith,0605 - Level 2 Hospital Clinic Visits,11,688.47440945,62.5885826772727
AR,Fort Smith,0606 - Level 3 Hospital Clinic Visits,7,582.12333106,83.1604758657143
AR,Fort Smith,0607 - Level 4 Hospital Clinic Visits,6,663.8001772,110.633362866667
AR,Fort Smith,0608 - Level 5 Hospital Clinic Visits,1,145.74,145.74
AR,Fort Smith,0631 - Level 1 Examinations & Related Services,1,63.5,63.5
AR,Fort Smith,0634 - Hospital Clinic Visits,3,237.31172083,79.1039069433333
AR,Fort Smith,0690 - Level I Electronic Analysis of Devices,5,150.35941969,30.071883938
AR,Fort Smith,0692 - Level II Electronic Analysis of Devices,1,96.8975,96.8975
AR,Jonesboro,0012 - Level I Debridement & Destruction,1,12.64666667,12.64666667
AR,Jonesboro,0013 - Level II Debridement & Destruction,10,582.32842265,58.232842265
AR,Jonesboro,0015 - Level III Debridement & Destruction,11,1098.37625965,99.8523872409091
AR,Jonesboro,0020 - Level II Excision/ Biopsy,6,3258.8578333,543.142972216667
AR,Jonesboro,0078 - Level III Pulmonary Treatment,11,991.72611612,90.1569196472727
AR,Jonesboro,0096 - Level II Noninvasive Physiologic Studies,7,724.32919443,103.475599204286
AR,Jonesboro,0203 - Level IV Nerve Injections,4,3548.7060923,887.176523075
AR,Jonesboro,0204 - Level I Nerve Injections,7,1142.3007527,163.185821814286
AR,Jonesboro,0206 - Level II Nerve Injections,5,1320.9924643,264.19849286
AR,Jonesboro,0207 - Level III Nerve Injections,7,3538.7392728,505.534181828571
AR,Jonesboro,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",9,6367.1655532,707.462839244444
AR,Jonesboro,0265 - Level I Diagnostic and Screening Ultrasound,9,575.54525751,63.9494730566667
AR,Jonesboro,0267 - Level III Diagnostic and Screening Ultrasound,16,2303.8633897,143.99146185625
AR,Jonesboro,0269 - Level II Echocardiogram Without Contrast,16,5692.0439852,355.752749075
AR,Jonesboro,0270 - Level III Echocardiogram Without Contrast,8,4138.1447149,517.2680893625
AR,Jonesboro,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,15,4456.0452787,297.069685246667
AR,Jonesboro,0368 - Level II Pulmonary Tests,3,183.8868132,61.2956044
AR,Jonesboro,0377 - Level II Cardiac Imaging,12,8550.5577902,712.546482516667
AR,Jonesboro,0604 - Level 1 Hospital Clinic Visits,4,209.18657819,52.2966445475
AR,Jonesboro,0605 - Level 2 Hospital Clinic Visits,8,520.64932845,65.08116605625
AR,Jonesboro,0606 - Level 3 Hospital Clinic Visits,7,601.95618588,85.99374084
AR,Jonesboro,0607 - Level 4 Hospital Clinic Visits,5,576.4926344,115.29852688
AR,Jonesboro,0608 - Level 5 Hospital Clinic Visits,3,481.1481818,160.382727266667
AR,Jonesboro,0634 - Hospital Clinic Visits,3,246.84509964,82.28169988
AR,Little Rock,0012 - Level I Debridement & Destruction,10,199.17959041,19.917959041
AR,Little Rock,0013 - Level II Debridement & Destruction,64,3735.61969637,58.3690577557812
AR,Little Rock,0015 - Level III Debridement & Destruction,62,6189.08016441,99.8238736195161
AR,Little Rock,0019 - Level I Excision/ Biopsy,19,5461.2756926,287.435562768421
AR,Little Rock,0020 - Level II Excision/ Biopsy,53,28668.5569616,540.916169086792
AR,Little Rock,0073 - Level III Endoscopy Upper Airway,4,1877.1069186,469.27672965
AR,Little Rock,0074 - Level IV Endoscopy Upper Airway,9,12757.927065,1417.54745166667
AR,Little Rock,0078 - Level III Pulmonary Treatment,68,6464.81674271,95.0708344516177
AR,Little Rock,0096 - Level II Noninvasive Physiologic Studies,48,4957.53089537,103.281893653542
AR,Little Rock,0203 - Level IV Nerve Injections,5,5323.1711966,1064.63423932
AR,Little Rock,0204 - Level I Nerve Injections,51,8561.9045085,167.880480558824
AR,Little Rock,0206 - Level II Nerve Injections,19,5008.0233225,263.580174868421
AR,Little Rock,0207 - Level III Nerve Injections,58,29417.589012,507.199810551724
AR,Little Rock,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",52,36406.0473244,700.1162947
AR,Little Rock,0231 - Level III Eye Tests & Treatments,1,157.1494595,157.1494595
AR,Little Rock,0265 - Level I Diagnostic and Screening Ultrasound,78,4805.04762981,61.6031747411538
AR,Little Rock,0267 - Level III Diagnostic and Screening Ultrasound,93,13665.7755258,146.943822858065
AR,Little Rock,0269 - Level II Echocardiogram Without Contrast,93,33778.7838782,363.212729873118
AR,Little Rock,0270 - Level III Echocardiogram Without Contrast,30,15766.6278082,525.554260273333
AR,Little Rock,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,93,28054.7641673,301.664130831183
AR,Little Rock,0368 - Level II Pulmonary Tests,53,3254.91810672,61.4135491833962
AR,Little Rock,0369 - Level III Pulmonary Tests,5,970.9572213,194.19144426
AR,Little Rock,0377 - Level II Cardiac Imaging,66,47806.8589205,724.346347280303
